Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1048.339966,1186.890015,1045.229980,1169.939941,1169.939941,28734500
2018-02-01,1162.609985,1174.000000,992.559998,1104.729980,1104.729980,42384100
2018-03-01,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
2018-04-01,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
2018-05-01,1013.659973,1110.750000,1006.289978,1084.989990,1084.989990,31818700
2018-06-01,1099.349976,1186.286011,1096.010010,1115.650024,1115.650024,32096000
2018-07-01,1099.000000,1273.890015,1093.800049,1217.260010,1217.260010,31940100
2018-08-01,1228.000000,1256.500000,1188.239990,1218.189941,1218.189941,28762400
2018-09-01,1204.270020,1212.989990,1146.910034,1193.469971,1193.469971,28847000
2018-10-01,1199.890015,1209.959961,995.830017,1076.770020,1076.770020,48494700
2018-11-01,1075.800049,1095.569946,996.020020,1094.430054,1094.430054,36735100
2018-12-01,1123.140015,1124.650024,970.109985,1035.609985,1035.609985,40257600
2019-01-01,1016.570007,1117.329956,1014.070007,1116.369995,1116.369995,30714000
2019-02-01,1112.400024,1125.000000,1104.890015,1110.750000,1110.750000,1459500
