Date,Open,High,Low,Close,Adj Close,Volume
1/1/18,2683.72998,2872.870117,2682.360107,2823.810059,2823.810059,76860120000
2/1/18,2816.449951,2835.959961,2532.689941,2713.830078,2713.830078,79579410000
3/1/18,2715.219971,2801.899902,2585.889893,2640.870117,2640.870117,76369800000
4/1/18,2633.449951,2717.48999,2553.800049,2648.050049,2648.050049,69648590000
5/1/18,2642.959961,2742.23999,2594.620117,2705.27002,2705.27002,75617280000
6/1/18,2718.699951,2791.469971,2691.98999,2718.370117,2718.370117,77439710000
7/1/18,2704.949951,2848.030029,2698.949951,2816.290039,2816.290039,64542170000
8/1/18,2821.169922,2916.5,2796.340088,2901.52002,2901.52002,69238220000
9/1/18,2896.959961,2940.909912,2864.120117,2913.97998,2913.97998,62492080000
10/1/18,2926.290039,2939.860107,2603.540039,2711.73999,2711.73999,91327930000
11/1/18,2717.580078,2815.149902,2631.090088,2760.169922,2760.169922,80080110000
12/1/18,2790.5,2800.179932,2346.580078,2506.850098,2506.850098,83519570000
1/1/19,2476.959961,2708.949951,2443.959961,2704.100098,2704.100098,80391630000
2/1/19,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3759270000
