Date,Open,High,Low,Close,Adj Close,Volume
1/1/18,177.679993,190.660004,175.800003,186.889999,186.889999,495411300
2/1/18,188.220001,195.320007,167.179993,178.320007,178.320007,516251600
3/1/18,179.009995,186.100006,149.020004,159.789993,159.789993,995523100
4/1/18,157.809998,177.100006,150.509995,172,172,749046400
5/1/18,172,192.720001,170.229996,191.779999,191.779999,401144100
6/1/18,193.070007,203.550003,186.429993,194.320007,194.320007,387265600
7/1/18,193.369995,218.619995,166.559998,172.580002,172.580002,647030700
8/1/18,173.929993,188.300003,170.270004,175.729996,175.729996,548743400
9/1/18,173.5,173.889999,158.869995,164.460007,164.460007,500357000
10/1/18,163.029999,165.880005,139.029999,151.789993,151.789993,622446300
11/1/18,151.520004,154.130005,126.849998,140.610001,140.610001,518151700
12/1/18,143,147.190002,123.019997,131.089996,131.089996,558786200
1/1/19,128.990005,171.679993,128.559998,166.690002,166.690002,527547900
2/1/19,165.839996,169.100006,165.660004,165.710007,165.710007,30751700
