state_name,county_fips,county_name,votes_gop_20,votes_dem_20,total_votes_20,per_gop_20,per_dem_20,per_point_diff_20,votes_dem_16,votes_gop_16,total_votes_16,per_dem_16,per_gop_16,state_abbr
Alabama,01001,Autauga County,19838,7503,27770,0.714368023046453,0.27018365142239825,0.4441843716240547,5908,18110,24661,0.239568549532,0.734357893029,AL
Alabama,01003,Baldwin County,83544,24578,109679,0.7617137282433283,0.22409029987509005,0.5376234283682382,18409,72780,94090,0.195653098098,0.773514719949,AL
Alabama,01005,Barbour County,5622,4816,10518,0.5345122646891044,0.45788172656398557,0.07663053812511883,4848,5431,10390,0.466602502406,0.522714148219,AL
Alabama,01007,Bibb County,7525,1986,9595,0.7842626367899947,0.20698280354351226,0.5772798332464825,1874,6733,8748,0.214220393233,0.769661636946,AL
Alabama,01009,Blount County,24711,2640,27588,0.8957155284906481,0.09569377990430622,0.8000217485863419,2150,22808,25384,0.0846990230066,0.89851875197,AL
Alabama,01011,Bullock County,1146,3446,4613,0.24842835464990246,0.7470192933015392,-0.49859093865163673,3530,1139,4701,0.750904062965,0.242288874708,AL
Alabama,01013,Butler County,5458,3965,9488,0.5752529510961214,0.4178962900505902,0.1573566610455312,3716,4891,8685,0.427864133564,0.563154864709,AL
Alabama,01015,Calhoun County,35101,15216,50983,0.6884843967597042,0.29845242531824334,0.39003197144146085,13197,32803,47376,0.278558763931,0.692396994259,AL
Alabama,01017,Chambers County,8753,6365,15284,0.5726903951845067,0.41644857367181365,0.15624182151269306,5763,7803,13778,0.418275511685,0.566337639715,AL
Alabama,01019,Cherokee County,10583,1624,12301,0.8603365580034144,0.13202178684659785,0.7283147711568165,1524,8809,10503,0.1451013996,0.838712748738,AL
Alabama,01021,Chilton County,16085,3073,19310,0.8329880890730191,0.1591403417918177,0.6738477472812014,2909,15068,18255,0.159353601753,0.825417693783,AL
Alabama,01023,Choctaw County,4296,3127,7464,0.5755627009646302,0.41894426580921756,0.15661843515541268,3109,4102,7268,0.427765547606,0.564391854706,AL
Alabama,01025,Clarke County,7324,5755,13135,0.5575942139322421,0.4381423677198325,0.11945184621240956,5712,7109,12936,0.441558441558,0.549551638837,AL
Alabama,01027,Clay County,5601,1267,6930,0.8082251082251082,0.18282828282828284,0.6253968253968254,1234,5230,6572,0.187766281193,0.795800365186,AL
Alabama,01029,Cleburne County,6484,675,7227,0.8971910889719109,0.09339975093399751,0.8037913380379134,684,5738,6532,0.10471524801,0.878444580527,AL
Alabama,01031,Coffee County,16899,5076,22275,0.7586531986531987,0.22787878787878788,0.5307744107744108,4194,15825,20513,0.204455711013,0.771461999708,AL
Alabama,01033,Colbert County,19203,8343,27886,0.688625116545937,0.2991823854263788,0.38944273111955824,7296,16718,24626,0.2962722326,0.678875984732,AL
Alabama,01035,Conecuh County,3442,2966,6441,0.5343890700201832,0.46048750194069243,0.07390156807949078,3069,3413,6543,0.469050894085,0.521626165368,AL
Alabama,01037,Coosa County,3631,1796,5479,0.6627121737543348,0.3277970432560686,0.33491513049826616,1780,3376,5223,0.340800306337,0.646371816963,AL
Alabama,01039,Covington County,14586,2721,17430,0.8368330464716007,0.15611015490533564,0.6807228915662651,2379,13222,15818,0.15039828044,0.835883171071,AL
Alabama,01041,Crenshaw County,4864,1700,6617,0.7350763185733716,0.2569140093698051,0.47816230920356656,1663,4511,6252,0.265994881638,0.721529110685,AL
Alabama,01043,Cullman County,36880,4478,41851,0.8812214761893383,0.10699863802537574,0.7742228381639626,3730,32734,37278,0.100059016042,0.878105048554,AL
Alabama,01045,Dale County,14303,5170,19738,0.724642820954504,0.2619313000303982,0.46271152092410583,4408,13798,18617,0.236772842026,0.741150561315,AL
Alabama,01047,Dallas County,5524,12230,17864,0.30922525750111957,0.6846171070309002,-0.3753918495297806,12826,5784,18730,0.684783769354,0.30880939669,AL
Alabama,01049,DeKalb County,24767,4281,29356,0.8436776127537812,0.14583049461779535,0.6978471181359858,3682,21779,26086,0.141148508779,0.834892279384,AL
Alabama,01051,Elmore County,30164,10367,41030,0.7351693882524982,0.2526687789422374,0.48250060931026084,8436,27619,36905,0.228586912343,0.748380978187,AL
Alabama,01053,Escambia County,10869,4918,15910,0.6831552482715273,0.3091137649277184,0.3740414833438089,4698,10282,15213,0.308814829422,0.67586932229,AL
Alabama,01055,Etowah County,35528,11567,47728,0.7443848474689909,0.2423524974857526,0.5020323499832383,10350,32132,43474,0.238073331186,0.739108432626,AL
Alabama,01057,Fayette County,7300,1395,8766,0.8327629477526808,0.1591375770020534,0.6736253707506275,1358,6705,8196,0.165690580771,0.818081991215,AL
Alabama,01059,Franklin County,10376,2086,12578,0.8249324216886628,0.16584512641119414,0.6590872952774687,2197,9466,11955,0.183772480134,0.791802593057,AL
Alabama,01061,Geneva County,10848,1595,12545,0.8647269828616979,0.12714228776404943,0.7375846950976485,1522,9967,11659,0.13054292821,0.854876061412,AL
Alabama,01063,Greene County,875,3884,4775,0.18324607329842932,0.8134031413612566,-0.6301570680628272,4006,838,4862,0.823940765117,0.17235705471,AL
Alabama,01065,Hale County,3190,4687,7922,0.40267609189598585,0.5916435243625348,-0.1889674324665489,4772,3172,8010,0.595755305868,0.396004993758,AL
Alabama,01067,Henry County,6607,2606,9298,0.7105829210582921,0.2802753280275328,0.43030759303075933,2286,5623,8017,0.285144068854,0.701384557815,AL
Alabama,01069,Houston County,32618,12917,46173,0.7064301648149351,0.27975223615532885,0.4266779286596063,10547,30567,42030,0.250939804901,0.727266238401,AL
