year,raceId,driverId,driverRef,constructorId,constructorRef,wins,laps,fastestLapSpeed,fastestLap,milliseconds,seconds,minutes
2010,351,1,hamilton,1,mclaren,15,35,164.901,31,.,.,.
2010,352,1,hamilton,1,mclaren,15,53,219.633,35,5466918,5466.918,91.1153
2010,353,1,hamilton,1,mclaren,15,55,183.048,42,1011580,1011.58,16.85967
2010,354,1,hamilton,1,mclaren,15,71,210.049,66,5606437,5606.437,93.44062
2010,355,1,hamilton,1,mclaren,15,55,197.428,47,5986999,5986.999,99.78332
2011,841,1,hamilton,1,mclaren,15,58,211.382,41,5392556,5392.556,89.87593
2011,842,1,hamilton,1,mclaren,15,56,196.575,54,5929789,5929.789,98.82982
2011,843,1,hamilton,1,mclaren,15,56,195.424,48,5818226,5818.226,96.97043
2011,844,1,hamilton,1,mclaren,15,58,213.264,48,5457790,5457.79,90.96317
2011,845,1,hamilton,1,mclaren,15,66,193.227,52,5943931,5943.931,99.06552
2011,846,1,hamilton,1,mclaren,15,78,154.456,54,7805583,7805.583,130.0931
2011,847,1,hamilton,1,mclaren,15,7,160.591,7,.,.,.
2011,848,1,hamilton,1,mclaren,15,57,189.499,47,6022359,6022.359,100.3727
2011,849,1,hamilton,1,mclaren,15,52,220.499,39,5350182,5350.182,89.1697
2011,850,1,hamilton,1,mclaren,15,60,196.526,59,5850334,5850.334,97.50557
2011,851,1,hamilton,1,mclaren,15,70,188.517,61,6450675,6450.675,107.5113
2011,852,1,hamilton,1,mclaren,15,12,218.029,8,.,.,.
2011,853,1,hamilton,1,mclaren,15,53,241.971,52,4863589,4863.589,81.05982
2011,854,1,hamilton,1,mclaren,15,61,164.779,54,7214523,7214.523,120.2421
2011,855,1,hamilton,1,mclaren,15,53,214.093,49,5477695,5477.695,91.29492
2011,856,1,hamilton,1,mclaren,15,55,201.216,54,5894013,5894.013,98.23355
2011,857,1,hamilton,1,mclaren,15,60,207.955,58,5519185,5519.185,91.98642
2011,858,1,hamilton,1,mclaren,15,55,193.255,51,5831886,5831.886,97.1981
2011,859,1,hamilton,1,mclaren,15,46,200.914,35,.,.,.
2012,860,1,hamilton,1,mclaren,15,58,213.214,57,5653640,5653.64,94.22733
2012,861,1,hamilton,1,mclaren,15,56,196.523,50,9906403,9906.403,165.1067
2012,862,1,hamilton,1,mclaren,15,56,195.201,40,5812941,5812.941,96.88235
2012,863,1,hamilton,1,mclaren,15,57,199.351,38,5769974,5769.974,96.16623
2012,864,1,hamilton,1,mclaren,15,66,188.465,50,6027285,6027.285,100.4548
2012,865,1,hamilton,1,mclaren,15,78,152.577,46,6370658,6370.658,106.1776
2012,866,1,hamilton,1,mclaren,15,70,203.837,59,5549586,5549.586,92.4931
2012,867,1,hamilton,1,mclaren,15,55,187.568,43,.,.,.
2012,868,1,hamilton,1,mclaren,15,52,220.515,44,5147751,5147.751,85.79585
2012,869,1,hamilton,1,mclaren,15,56,205.596,34,.,.,.
2012,870,1,hamilton,1,mclaren,15,69,184.082,65,6065503,6065.503,101.0917
