"","Model","AUC","Accuracy","Precision","Recall","F1_score"
"2","Logistic Regression",0.81724673021503,0.870145631067961,0.701754385964912,0.307692307692308,0.427807486631016
"1","Linear Regression",0.814586566171581,0.842233009708738,0,0,0
"3","RBF SVM",0.849102194635336,0.794902912621359,0.415584415584416,0.738461538461539,0.53185595567867
"4","Polynomial SVM",0.838239858124584,0.787621359223301,0.404255319148936,0.730769230769231,0.520547945205479
"5","Linear SVM",0.814065617379738,0.777912621359223,0.385281385281385,0.684615384615385,0.493074792243767
"6","Sigmoid SVM",0.80864553314121,0.769417475728155,0.372881355932203,0.676923076923077,0.480874316939891
